title,language,year,genres,rating,director,cast,keywords,description
RRR,Telugu,2022,Action|Drama|Historical,7.9,S. S. Rajamouli,N. T. Rama Rao Jr.|Ram Charan|Alia Bhatt|Ajay Devgn,freedom fighters friendship revolution british india action brotherhood sacrifice,Two legendary revolutionaries form a powerful friendship while fighting British rule in colonial India.
Baahubali: The Beginning,Telugu,2015,Action|Adventure|Drama,8.0,S. S. Rajamouli,Prabhas|Rana Daggubati|Anushka Shetty|Tamannaah Bhatia,kingdom warrior battle royal family revenge empire courage,A young man discovers his royal heritage and becomes involved in a battle for a powerful kingdom.
Baahubali 2: The Conclusion,Telugu,2017,Action|Adventure|Drama,8.2,S. S. Rajamouli,Prabhas|Rana Daggubati|Anushka Shetty|Sathyaraj,kingdom warrior revenge royal family empire battle betrayal,A royal heir fights to reclaim the kingdom and uncover the truth behind his father's death.
Pushpa: The Rise,Telugu,2021,Action|Crime|Drama,7.6,Sukumar,Allu Arjun|Rashmika Mandanna|Fahadh Faasil,red sandalwood smuggling forest worker crime ambition gangster power,A determined laborer rises through a red sandalwood smuggling syndicate and challenges powerful enemies.
Pushpa 2: The Rule,Telugu,2024,Action|Crime|Drama,8.0,Sukumar,Allu Arjun|Rashmika Mandanna|Fahadh Faasil,smuggling power politics revenge police forest gangster empire ambition,Pushpa expands his influence while facing powerful political and criminal enemies.
Arjun Reddy,Telugu,2017,Drama|Romance,8.1,Sandeep Reddy Vanga,Vijay Deverakonda|Shalini Pandey|Rahul Ramakrishna,medical college doctor love anger addiction relationship heartbreak intense,"A brilliant but troubled surgeon struggles with love, anger, addiction and self-destruction."
Jersey,Telugu,2019,Drama|Sport,8.5,Gowtam Tinnanuri,Nani|Shraddha Srinath|Ronan Smith,cricket father son comeback ambition family sports emotional dream,A former cricketer attempts a late comeback to fulfill his dream and support his son.
Eega,Telugu,2012,Action|Fantasy|Romance,7.7,S. S. Rajamouli,Nani|Samantha Ruth Prabhu|Sudeep,revenge reincarnation fly fantasy love villain supernatural transformation,A murdered man is reincarnated as a fly and seeks revenge while protecting his loved one.
Ala Vaikunthapurramuloo,Telugu,2020,Action|Drama|Comedy,7.3,Trivikram Srinivas,Allu Arjun|Pooja Hegde|Tabu|Jayaram,family identity inheritance wealthy rivalry comedy music relationships,A young man discovers a hidden family truth that changes his life and relationships.
Rangasthalam,Telugu,2018,Action|Drama|Period,8.4,Sukumar,Ram Charan|Samantha Ruth Prabhu|Aadhi Pinisetty|Jagapathi Babu,village politics revenge brother election rural corruption leadership,A hearing-impaired villager challenges a powerful political system controlling his village.
Mahanati,Telugu,2018,Biography|Drama,8.5,Nag Ashwin,Keerthy Suresh|Dulquer Salmaan|Samantha Ruth Prabhu|Vijay Deverakonda,actress cinema biography fame love tragedy classic film career,A biographical drama portraying the rise and struggles of a celebrated Indian actress.
Agent Sai Srinivasa Athreya,Telugu,2019,Crime|Mystery|Comedy,8.4,Swaroop RSJ,Naveen Polishetty|Shruti Sharma|Krishna Kanth,detective investigation mystery railway crime clues bodies case comedy,An enthusiastic detective investigates a mysterious case involving unidentified bodies.
Goodachari,Telugu,2018,Action|Spy|Thriller,8.0,Sashi Kiran Tikka,Adivi Sesh|Sobhita Dhulipala|Jagapathi Babu,spy intelligence mission conspiracy secret agent terrorism action,A secret agent becomes trapped in a dangerous international conspiracy.
